pCO2,cCO2
0.133322,-nan
0.199316,-nan
0.265311,-nan
0.331305,-nan
0.3973,-nan
0.463294,-nan
0.529288,-nan
0.595283,-nan
0.661277,-nan
0.727272,0.0128074
0.793266,0.0131203
0.85926,0.0134196
0.925255,0.013707
0.991249,0.0139834
1.05724,0.0142499
1.12324,0.0145075
1.18923,0.0147568
1.25523,0.0149984
1.32122,0.015233
1.38722,0.015461
1.45321,0.015683
1.5192,0.0158992
1.5852,0.01611
1.65119,0.0163158
1.71719,0.0165168
1.78318,0.0167134
1.84918,0.0169056
1.91517,0.0170939
1.98116,0.0172783
2.04716,0.0174591
2.11315,0.0176364
2.17915,0.0178104
2.24514,0.0179812
2.31114,0.018149
2.37713,0.0183139
2.44313,0.018476
2.50912,0.0186354
2.57511,0.0187922
2.64111,0.0189466
2.7071,0.0190986
2.7731,0.0192483
2.83909,0.0193958
2.90509,0.0195411
2.97108,0.0196844
3.03708,0.0198257
3.10307,0.019965
3.16906,0.0201025
3.23506,0.0202382
3.30105,0.0203721
3.36705,0.0205043
3.43304,0.0206348
3.49904,0.0207637
3.56503,0.0208911
3.63102,0.021017
3.69702,0.0211414
3.76301,0.0212643
3.82901,0.0213859
3.895,0.0215061
3.961,0.0216249
4.02699,0.0217425
4.09299,0.0218588
4.15898,0.0219739
4.22497,0.0220878
4.29097,0.0222005
4.35696,0.0223121
4.42296,0.0224225
4.48895,0.0225319
4.55495,0.0226402
4.62094,0.0227475
4.68693,0.0228537
4.75293,0.022959
4.81892,0.0230632
4.88492,0.0231665
4.95091,0.0232689
5.01691,0.0233704
5.0829,0.0234709
5.1489,0.0235706
5.21489,0.0236695
5.28088,0.0237675
5.34688,0.0238646
5.41287,0.023961
5.47887,0.0240565
5.54486,0.0241513
5.61086,0.0242453
5.67685,0.0243385
5.74285,0.024431
5.80884,0.0245228
5.87483,0.0246139
5.94083,0.0247042
6.00682,0.0247939
6.07282,0.0248829
6.13881,0.0249712
6.20481,0.0250589
6.2708,0.025146
6.33679,0.0252324
6.40279,0.0253182
6.46878,0.0254033
6.53478,0.0254879
6.60077,0.0255719
6.66677,0.0256553
6.73276,0.0257381
6.79876,0.0258204
6.86475,0.0259021
6.93074,0.0259833
6.99674,0.0260639
7.06273,0.026144
7.12873,0.0262236
7.19472,0.0263027
7.26072,0.0263812
7.32671,0.0264593
7.3927,0.0265368
7.4587,0.0266139
7.52469,0.0266905
7.59069,0.0267666
7.65668,0.0268423
7.72268,0.0269175
7.78867,0.0269922
7.85467,0.0270665
7.92066,0.0271404
7.98665,0.0272138
8.05265,0.0272868
8.11864,0.0273594
8.18464,0.0274316
8.25063,0.0275033
8.31663,0.0275747
8.38262,0.0276456
8.44862,0.0277161
8.51461,0.0277863
8.5806,0.0278561
8.6466,0.0279255
8.71259,0.0279945
8.77859,0.0280631
8.84458,0.0281314
8.91058,0.0281993
8.97657,0.0282669
9.04256,0.0283341
9.10856,0.0284009
9.17455,0.0284674
9.24055,0.0285336
9.30654,0.0285994
9.37254,0.0286649
9.43853,0.0287301
9.50453,0.0287949
9.57052,0.0288594
9.63651,0.0289236
9.70251,0.0289875
9.7685,0.0290511
9.8345,0.0291144
9.90049,0.0291773
9.96649,0.02924
10.0325,0.0293024
10.0985,0.0293644
10.1645,0.0294262
10.2305,0.0294877
10.2965,0.0295489
10.3625,0.0296098
10.4284,0.0296705
10.4944,0.0297309
10.5604,0.029791
10.6264,0.0298508
10.6924,0.0299103
10.7584,0.0299696
10.8244,0.0300287
10.8904,0.0300875
10.9564,0.030146
11.0224,0.0302042
11.0884,0.0302623
11.1544,0.03032
11.2204,0.0303776
11.2864,0.0304348
11.3524,0.0304919
11.4184,0.0305487
11.4844,0.0306052
11.5504,0.0306616
11.6163,0.0307177
11.6823,0.0307735
11.7483,0.0308292
11.8143,0.0308846
11.8803,0.0309398
11.9463,0.0309947
12.0123,0.0310495
12.0783,0.031104
12.1443,0.0311583
12.2103,0.0312124
12.2763,0.0312663
12.3423,0.03132
12.4083,0.0313735
12.4743,0.0314268
12.5403,0.0314798
12.6063,0.0315327
12.6723,0.0315854
12.7383,0.0316378
12.8042,0.0316901
12.8702,0.0317422
12.9362,0.0317941
13.0022,0.0318458
13.0682,0.0318973
13.1342,0.0319486
13.2002,0.0319998
13.2662,0.0320507
13.3322,0.0321015
